OBJ_STATUS_,OBJ_IDENTIF,NAME,MIN_X_AXIS_,MAX_X_AXIS_,MIN_Y_AXIS_,MAX_Y_AXIS_
"0","1",ABRFC,-106.5962524414,-91.9733123777,33.3829154963,39.3829154888
"0","2",CBRFC,-115.7337491883,-105.6254196787,30.9454165677,43.4579160787
"0","3",CNRFC,-124.4096986958,-114.1441876863,32.5355415687,43.3579175789
"0","13",LMRFC,-96.2504196695,-81.2587511556,28.9302290656,38.1870840746
"0","59",MARFC,-80.5379181550,-73.9087526488,36.6662480727,42.9745825784
"0","92",MBRFC,-114.0749053953,-90.3879165651,37.0245819086,49.7329166660
"0","93",NCRFC,-104.8587491776,-82.4228361572,37.4995840732,50.3120840854
"0","121",NERFC,-79.1615601536,-66.9497986428,40.5437890760,47.8248903203
"0","169",NWRFC,-124.7332991963,-109.7670821825,41.1287500774,52.8704185878
"0","199",OHRFC,-89.0129166632,-77.8420866530,35.3120840713,42.5545880781
"0","202",SERFC,-89.1754151637,-75.4599761509,24.5435790614,37.5287515738
"0","316",WGRFC,-108.7837526816,-93.1504136674,24.8412500613,38.4579160743
